Group  Order,Data Group,Data Point,Item Order,Source,Persona,Description,Auto vs Manual,Difficulty,Notes
0,Photos,LinkedIn Image URL,1,LinkedIn,General,,,,
0,Photos,"LinkedIn Image (attachment, square)",1,LinkedIn,General,,,,
0,Photos,Twitter Image URL,2,Twitter,General,Use only if no image on LinkedIn,,,
0,Photos,"Twitter Image (attachment, square)",2,Twitter,General,Use only if no image on LinkedIn,,,
1,Basic Info,Name (First & Last),1,Meeting Invite,General,,,,
1,Basic Info,Email,2,Meeting Invite,General,,,,
1,Basic Info,Phone Number,3,Manual,General,,,,
1,Basic Info,Preferred Contact Method,4,Manual,General,E.g. WhatsApp vs Phone,,,
1,Basic Info,LinkedIn Location,5,LinkedIn,General,,,,
1,Basic Info,Twitter Location,6,Twitter,General,Ideally omit if same as LinkedIn,,,
2,URLs,Personal URL,1,Manual,General,Format as link titled “Personal Site”,,,
2,URLs,LinkedIn URL,2,Rows API (with manual check),General,Format as link,,,
2,URLs,Twitter URL,3,Rows API (with manual check),General,Format as link,,,
2,URLs,Crunchbase URL,4,Rows API (with manual check),General,Format as link,,,
2,URLs,Podcast URL,5,Manual,General,Format as link,,,
2,URLs,Newsletter URL,6,Manual,General,"If the person writes a newsletter, e.g. on Substack or a similar service",,,
2,"Twitter,URLs",Twitter Profile Link,7,Twitter,General,,,,
2,URLs,LinkedIn Personal Website URL,8,LinkedIn,General,Format as link,,,
2,"Company,URLs",Company URL,9,Meeting Invite,General,Format as link titled “{Company Name} Site”,,,
2,"Company,URLs",Company LinkedIn URL,10,Rows API (with manual check),General,Format as link,,,
2,"Company,URLs",Company Crunchbase URL,11,Rows API (with manual check),General,Format as link,,,
3,"Twitter,Bio",Twitter Bio,1,Twitter,General,,,,
3,"LinkedIn,Bio",LinkedIn Bio,2,LinkedIn,General,,,,
4,"Deal,Founder",Fundraising Pitch Deck/Memo,1,Manual,Founder,Likely inside previous emails as a PDF or DocSend link,,,
4,"Deal,Founder",Fundraising Details,2,Manual,Founder,"Likely inside emails or pitch deck; include the round size, terms, other investors, and closing target date",,,
5,"History,Founder",Founder Previous Company,3,Crunchbase,Founder,,,,
5,"History,Founder",Founder Previous Company Exit Valuation,4,Crunchbase,Founder,,,,
5,"History,Founder",Founder Previous Company Exit Date,5,Crunchbase,Founder,,,,
5,"History,Founder",Founder Previous Company Total Raised,6,Crunchbase,Founder,,,,
5,"History,Founder",Founder Previous Company Exit Status,7,Crunchbase,Founder,,,,
5,"History,Founder",Founder Previous Company 2 News Stories,8,"Crunchbase, News API",Founder,,,,
6,"Funding,Company",Startup Total Funding Raised,5,Crunchbase,Founder,,,,
6,"Funding,Company",Startup Total Investor List,6,Crunchbase,Founder,,,,
6,"Funding,Company",Startup Last Funding Round Date,7,Crunchbase,Founder,,,,
6,"Funding,Company",Startup Last Funding Round Amount,8,Crunchbase,Founder,,,,
6,"Funding,Company",Startup Last Funding Round Lead Investor,9,Crunchbase,Founder,,,,
6,"Funding,Company",Startup Last Funding Round Investor List,10,Crunchbase,Founder,,,,
7,Common Ground,Shared Employment History,1,LinkedIn,General,Requires an Airtable tab for client information to match,,,
7,Common Ground,Shared School,2,LinkedIn,General,Requires an Airtable tab for client information to match,,,
7,Common Ground,Shared High School Geographic Area,3,LinkedIn,General,Requires an Airtable tab for client information to match,,,
7,Common Ground,Shared Investments,4,"Crunchbase,Manual",Investor,List of companies which both the bio recipient and target have invested in (any round),,,
