Status,Name,Content,Ext URL,Priority,Audience,Request Source,Area,Credit-Person,Credit-Org,Reference URL,Tools,Release Date,Review Date,Who Benefits,Notes
1 In Progress: Feedback,Improving your writing,model,https://www.notion.so/athenaplaybooks/Improving-Your-Writing-2709fd7ae7224066a8db27d6699b6778,4,EAs,Client Survey,Learning / PKM,,,,,,,,Ongoing practices to check and improve writing as an EA when responding immediately isn't required
1 In Progress: Feedback,OpenAI GPT Fine-Tuning via Google Sheets,model,,,Clients,Client Survey,Meta,,,,"OpenAI,Google Sheets",,,,
2 In Progress: Draft,Weekly Client-EA Productivity,model,,5,"Clients,EAs",,,,,,"Airtable,OpenAI,Gmail",,,,
2 In Progress: Draft,Gift Automation,model,,4,Clients,,,,,,Airtable,,,,
2 In Progress: Draft,Pre-Meeting Bio Automation,model,,4,"Clients,EAs",,,,,,"Airtable,Zapier,Superhuman,Gmail,Google Calendar,Clay",,,,
2 In Progress: Draft,Personal Network CRM Management,model,,4,Clients,,,,,,"Airtable,Zapier,Superhuman,Gmail,Google Calendar,Clay",,,,
2 In Progress: Draft,Personal Network CRM Setup,model,,4,Clients,,,,,,"Airtable,Zapier,Gmail,Google Calendar,Clay,DataMiner,CloudHQ",,,,
2 In Progress: Draft,Travel Database,model,,4,Clients,,,,,,Airtable,,,,
2 In Progress: Draft,Call Action Items,model,,4,Clients,,,,,,"Fireflies,Zapier,Notion,Coda,Zoom",,,,
2 In Progress: Draft,2FA Verification via Google Voice,model,,4,EAs,,,,,,Google Voice,,,,
2 In Progress: Draft,Nutrition Optimization,model,,2,Clients,,,,,,,,,,
2 In Progress: Draft,Recruiting & JD Creation,model,,,Clients,Client Survey,,,,,,,,,
2 In Progress: Draft,Inbox Management,model,,,,Client Survey,,,,,,,,,
2 In Progress: Draft,VC Fundraising,model,,,,Client Survey,,,,,,,,,
2 In Progress: Draft,Timeblocking 2.0,model,,,,Client Survey,,,,,,,,,
